Não-Terminal,&&,(,),*,+,,,-,.,/,:,:=,;,<,<=,<>,=,>,>=,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL,^,begin,bool,deref,do,else,end,enum,false,fi,float,id,if,in,int,new,not,null,od,procedure,program,ref,return,string,struct,then,true,var,while,||,}
TYPE,,,,,,,,,,,,,,,,,,,,,,,,bool,,,,,,,,float,id,,,int,,,,,,,ref ( TYPE ),,string,,,,,,,
RETURN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return ( EXP ),,,,,,,,
TERM,,POW TERM',,,,,,,,,,,,,,,,,POW TERM',POW TERM',POW TERM',,,,POW TERM',,,,,POW TERM',,,POW TERM',,,,POW TERM',,POW TERM',,,,POW TERM',,,,,POW TERM',,,,
AND_OP4',&& NOT_OP4 AND_OP4',,,,,,,ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε,
EXP2,,FACT2 EXP3,,,,,,,,,,,,,,,,,FACT2 EXP3,FACT2 EXP3,FACT2 EXP3,,,,FACT2 EXP3,,,,,FACT2 EXP3,,,,,,,FACT2 EXP3,not NOT_OP4,FACT2 EXP3,,,,FACT2 EXP3,,,,,FACT2 EXP3,,,,
EXP_REL3,,,,EXP_ARITH3,EXP_ARITH3,,EXP_ARITH3,,EXP_ARITH3,,,,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,REL_OP EXP_ARITH4,,,,EXP_ARITH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAR_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var id VAR_DECL',,,
FACT,,( EXP ),,,,,,,,,,,,,,,,,LITERAL,LITERAL,LITERAL,,,,DEREF_VAR,,,,,LITERAL,,,id CALL_STMT,,,,new id,,LITERAL,,,,REF_VAR,,,,,LITERAL,,,,
CALL_ARGS,,EXP CALL_ARGS',ε,,,,,,,,,,,,,,,,EXP CALL_ARGS',EXP CALL_ARGS',EXP CALL_ARGS',,,,EXP CALL_ARGS',,,,,EXP CALL_ARGS',,,EXP CALL_ARGS',,,,EXP CALL_ARGS',EXP CALL_ARGS',EXP CALL_ARGS',,,,EXP CALL_ARGS',,,,,EXP CALL_ARGS',,,,
CALL_ARGS',,,ε,,,, EXP CALL_ARGS',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF_VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref ( VAR2 ),,,,,,,,,
DEREF_VAR,,,,,,,,,,,,,,,,,,,,,,,,,deref ( DEREF_VAR' ),,,,,,,,,,,,,,,,,,,,,,,,,,,
DEREF_VAR',,VAR2,,,,,,,,,,,,,,,,,VAR2,VAR2,VAR2,,,,VAR2,,,,,VAR2,,,VAR2,,,,VAR2,VAR2,VAR2,,,,VAR2,,,,,VAR2,,,,
IF_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,if EXP then STMT_LIST ELSE_STMT fi,,,,,,,,,,,,,,,,,,
REL_OP,,,,,,,,,,,,,<,<=,<>,=,>,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
